Main Category,Name,slice_name
TYP_ACCNTNG_ITM_61,Haircuts for trading liabilities at fair value,Haircuts for trading liabilities at fair value
TYP_ACCNTNG_ITM_700,Provisions,Provisions
TYP_ACCNTNG_ITM_701,Provisions. Funds for general banking risks,Provisions. Funds for general banking risks
TYP_ACCNTNG_ITM_702,Provisions. Employee benefits. Other than pension and other post-employment defined benefit obligations,Provisions. Employee benefits. Other than pension and other post-employment defined benefit obligations
TYP_ACCNTNG_ITM_703,Provisions. Employee benefits. Pension and other post-employment defined benefit obligations,Provisions. Employee benefits. Pension and other post-employment defined benefit obligations
TYP_ACCNTNG_ITM_704,Provisions. Restructuring,Provisions. Restructuring
TYP_ACCNTNG_ITM_705,Provisions. Pending legal issues and tax litigation,Provisions. Pending legal issues and tax litigation
TYP_ACCNTNG_ITM_710,Provisions. Other than commitments and guarantees given and payment commitments to resolution funds and deposit guarantee schemes,Provisions. Other than commitments and guarantees given and payment commitments to resolution funds and deposit guarantee schemes
TYP_ACCNTNG_ITM_720,Deferred tax liabilities,Deferred tax liabilities
TYP_ACCNTNG_ITM_721,Tax liabilities,Tax liabilities
TYP_ACCNTNG_ITM_725,Liabilities under reinsurance and insurance contracts,Liabilities under reinsurance and insurance contracts
TYP_ACCNTNG_ITM_730,Share capital repayable on demand,Share capital repayable on demand
TYP_ACCNTNG_ITM_750,Equity instruments issued. Capital,Equity instruments issued. Capital
TYP_ACCNTNG_ITM_751,Equity instruments issued. Capital. Paid up,Equity instruments issued. Capital. Paid up
TYP_ACCNTNG_ITM_752,Equity instruments issued. Capital. Unpaid which has been called up,Equity instruments issued. Capital. Unpaid which has been called up
TYP_ACCNTNG_ITM_760,Share premium,Share premium
TYP_ACCNTNG_ITM_770,Equity instruments issued other than capital,Equity instruments issued other than capital
TYP_ACCNTNG_ITM_771,Equity instruments issued other than capital. Equity component of compound financial instruments,Equity instruments issued other than capital. Equity component of compound financial instruments
TYP_ACCNTNG_ITM_772,Equity instruments issued other than capital. Other than equity component of compound financial instruments,Equity instruments issued other than capital. Other than equity component of compound financial instruments
TYP_ACCNTNG_ITM_780,Equity issued other than Equity instruments issued,Equity issued other than Equity instruments issued
TYP_ACCNTNG_ITM_790,Accumulated other comprehensive income,Accumulated other comprehensive income
TYP_ACCNTNG_ITM_791,Accumulated other comprehensive income. Items that will not be reclassified to profit and loss,Accumulated other comprehensive income. Items that will not be reclassified to profit and loss
TYP_ACCNTNG_ITM_792,Accumulated other comprehensive income. Tangible assets,Accumulated other comprehensive income. Tangible assets
TYP_ACCNTNG_ITM_793,Accumulated other comprehensive income. Intangible assets,Accumulated other comprehensive income. Intangible assets
TYP_ACCNTNG_ITM_794,Accumulated other comprehensive income. Defined benefit plans,Accumulated other comprehensive income. Defined benefit plans
TYP_ACCNTNG_ITM_795,Accumulated other comprehensive income. Non-current assets and disposal groups classified as held for sale,Accumulated other comprehensive income. Non-current assets and disposal groups classified as held for sale
TYP_ACCNTNG_ITM_797,Accumulated other comprehensive income. Fair value changes of equity instruments,Accumulated other comprehensive income. Fair value changes of equity instruments
TYP_ACCNTNG_ITM_798,Accumulated other comprehensive income. Hedge ineffectiveness for equity instruments,Accumulated other comprehensive income. Hedge ineffectiveness for equity instruments
TYP_ACCNTNG_ITM_799,Accumulated other comprehensive income. Fair value changes of a financial liability attributable to changes in its credit risk,Accumulated other comprehensive income. Fair value changes of a financial liability attributable to changes in its credit risk
TYP_ACCNTNG_ITM_800,Equity other than Accumulated other comprehensive income,Equity other than Accumulated other comprehensive income
TYP_ACCNTNG_ITM_801,Accumulated other comprehensive income. Items that may be reclassified to profit and loss,Accumulated other comprehensive income. Items that may be reclassified to profit and loss
TYP_ACCNTNG_ITM_803,Accumulated other comprehensive income. Foreign currency translation,Accumulated other comprehensive income. Foreign currency translation
TYP_ACCNTNG_ITM_808,Accumulated other comprehensive income. Fair value changes of debt instruments,Accumulated other comprehensive income. Fair value changes of debt instruments
TYP_ACCNTNG_ITM_809,Accumulated other comprehensive income. Hedging instruments [not designated elements],Accumulated other comprehensive income. Hedging instruments [not designated elements]
TYP_ACCNTNG_ITM_810,Retained earnings,Retained earnings
TYP_ACCNTNG_ITM_820,Revaluation reserves,Revaluation reserves
TYP_ACCNTNG_ITM_821,Revaluation reserves. Tangible assets,Revaluation reserves. Tangible assets
TYP_ACCNTNG_ITM_822,Revaluation reserves. Equity instruments,Revaluation reserves. Equity instruments
TYP_ACCNTNG_ITM_823,Revaluation reserves. Debt securities,Revaluation reserves. Debt securities
TYP_ACCNTNG_ITM_830,Fair value reserves,Fair value reserves
TYP_ACCNTNG_ITM_841,Other reserves. Funds for general banking risks,Other reserves. Funds for general banking risks
TYP_ACCNTNG_ITM_850,First consolidation differences,First consolidation differences
TYP_ACCNTNG_ITM_860,Treasury shares,Treasury shares
TYP_ACCNTNG_ITM_870,Profit or loss,Profit or loss
TYP_ACCNTNG_ITM_880,Interim dividends,Interim dividends
TYP_ACCNTNG_ITM_889,All equity,All equity
TYP_ACCNTNG_ITM_896,Equity instruments issued,Equity instruments issued
TYP_ACCNTNG_ITM_901,Defined benefit obligations,Defined benefit obligations
TYP_ACCNTNG_ITM_902,Defined benefit plan assets,Defined benefit plan assets
TYP_ACCNTNG_ITM_903,Defined benefit plans,Defined benefit plans
TYP_ACCNTNG_ITM_905,Right to reimbursement of the expenditure required to settled a defined benefit obligation,Right to reimbursement of the expenditure required to settled a defined benefit obligation
TYP_ACCNTNG_ITM_945,Provisions. Off-balance sheet exposures subject to credit risk,Provisions. Off-balance sheet exposures subject to credit risk
TYP_ACCNTNG_ITM_98,Depreciation,Depreciation
TYP_ACCNTNG_ITM_980,Losses,Losses
TYP_ACCNTNG_ITM_988,Off-balance sheet items,Off-balance sheet items
