TYP_ACCNTNG_ITM_CODE,TYP_ACCNTNG_ITM_NAME,TYP_ACCNTNG_ITM_DESCRIPTION,MEMBER_ID,TYP_INSTRMNT_CODE,TYP_INSTRMNT_NAME,TYP_INSTRMNT_DESCRIPTION,TYP_INSTRMNT_MEMBER_ID,LDM_ENTITY_CODE,LDM_ENTITY_NAME,LINKED_ITEMS
799,,Accumulated other comprehensive income. Fair value changes of a financial liability attributable to changes in its credit risk,Accumulated other comprehensive income. Fair value changes of a financial liability attributable to changes in its credit risk,TYP_ACCNTNG_ITM_799,,,,,,,
800,,Equity other than Accumulated other comprehensive income,Equity other than Accumulated other comprehensive income,TYP_ACCNTNG_ITM_800,,,,,,,
801,,Accumulated other comprehensive income. Items that may be reclassified to profit and loss,Accumulated other comprehensive income. Items that may be reclassified to profit and loss,TYP_ACCNTNG_ITM_801,,,,,,,
803,,Accumulated other comprehensive income. Foreign currency translation,Accumulated other comprehensive income. Foreign currency translation,TYP_ACCNTNG_ITM_803,,,,,,,
808,,Accumulated other comprehensive income. Fair value changes of debt instruments,Accumulated other comprehensive income. Fair value changes of debt instruments,TYP_ACCNTNG_ITM_808,,,,,,,
809,,Accumulated other comprehensive income. Hedging instruments [not designated elements],Accumulated other comprehensive income. Hedging instruments [not designated elements],TYP_ACCNTNG_ITM_809,,,,,,,
810,,Retained earnings,Retained earnings,TYP_ACCNTNG_ITM_810,,,,,,,
820,,Revaluation reserves,Revaluation reserves,TYP_ACCNTNG_ITM_820,,,,,,,
821,,Revaluation reserves. Tangible assets,Revaluation reserves. Tangible assets,TYP_ACCNTNG_ITM_821,,,,,,,
822,,Revaluation reserves. Equity instruments,Revaluation reserves. Equity instruments,TYP_ACCNTNG_ITM_822,,,,,,,
823,,Revaluation reserves. Debt securities,Revaluation reserves. Debt securities,TYP_ACCNTNG_ITM_823,,,,,,,
824,,"Revaluation reserves. Other than Tangible assets, Equity instruments, Debt securities","Revaluation reserves. Other than Tangible assets, Equity instruments, Debt securities",TYP_ACCNTNG_ITM_824,,,,,,,
830,,Fair value reserves,Fair value reserves,TYP_ACCNTNG_ITM_830,,,,,,,
834,,Fair value reserves. Non-trading non-derivative financial assets measured at fair value to equity,Fair value reserves. Non-trading non-derivative financial assets measured at fair value to equity,TYP_ACCNTNG_ITM_834,,,,,,,
840,,Other reserves,Other reserves,TYP_ACCNTNG_ITM_840,,,,,,,
841,,Other reserves. Funds for general banking risks,Other reserves. Funds for general banking risks,TYP_ACCNTNG_ITM_841,,,,,,,
843,,"Other Reserves. Other than Reserves or accumulated losses of investments in subsidiaries, joint ventures and associates and Funds for banking risks","Other Reserves. Other than Reserves or accumulated losses of investments in subsidiaries, joint ventures and associates and Funds for banking risks",TYP_ACCNTNG_ITM_843,,,,,,,
844,,"Other Reserves. Reserves or accumulated losses of investments in subsidiaries, joint ventures and associates","Other Reserves. Reserves or accumulated losses of investments in subsidiaries, joint ventures and associates",TYP_ACCNTNG_ITM_844,,,,,,,
850,,First consolidation differences,First consolidation differences,TYP_ACCNTNG_ITM_850,,,,,,,
860,,Treasury shares,Treasury shares,TYP_ACCNTNG_ITM_860,,,,,,,
870,,Profit or loss,Profit or loss,TYP_ACCNTNG_ITM_870,,,,,,,
880,,Interim dividends,Interim dividends,TYP_ACCNTNG_ITM_880,,,,,,,
889,,All equity,All equity,TYP_ACCNTNG_ITM_889,,,,,,,
896,,Equity instruments issued,Equity instruments issued,TYP_ACCNTNG_ITM_896,,,,,,,
899,,"All equity, All liabilities","All equity, All liabilities",TYP_ACCNTNG_ITM_899,,,,,,,
901,,Defined benefit obligations,Defined benefit obligations,TYP_ACCNTNG_ITM_901,,,,,,,
902,,Defined benefit plan assets,Defined benefit plan assets,TYP_ACCNTNG_ITM_902,,,,,,,
903,,Defined benefit plans,Defined benefit plans,TYP_ACCNTNG_ITM_903,,,,,,,
905,,Right to reimbursement of the expenditure required to settled a defined benefit obligation,Right to reimbursement of the expenditure required to settled a defined benefit obligation,TYP_ACCNTNG_ITM_905,,,,,,,
945,,Provisions. Off-balance sheet exposures subject to credit risk,Provisions. Off-balance sheet exposures subject to credit risk,TYP_ACCNTNG_ITM_945,,,,,,,
98,,Depreciation,Depreciation,TYP_ACCNTNG_ITM_98,,,,,,,
980,,Losses,Losses,TYP_ACCNTNG_ITM_980,,,,,,,
988,,Off-balance sheet items,Off-balance sheet items,TYP_ACCNTNG_ITM_988,,,,,,,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,1003,Reverse repurchase agreements,Reverse repurchase agreements as defined Part 2.14 of Annex V to Implementing Regulation (EU) No 680/2014.,TYP_INSTRMNT_1003,BIRD_RPRCHS_AGRMNT_INSTRMNT_LDM,Repurchase agreement instrument,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,114,"Term loans Other than Trade receivables, Credit card balance, Finance leases, Reverse repurchase agreements, on demand and short notice.","Term loans Other than Trade receivables/payables, Credit card balance, Finance leases, Reverse repurchase loans, on demand and short notice.",TYP_INSTRMNT_114,BIRD_OTHR_LN_LDM,Other loan,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,114,"Term loans Other than Trade receivables, Credit card balance, Finance leases, Reverse repurchase agreements, on demand and short notice.","Term loans Other than Trade receivables/payables, Credit card balance, Finance leases, Reverse repurchase loans, on demand and short notice.",TYP_INSTRMNT_114,BIRD_LNG_NN_NGTBL_SCRTY_PSTN_LDM,Long non negotiable security position,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,141,Advances that are not loans,Advances that are not loans,TYP_INSTRMNT_141,BIRD_ADVNC_LDM,Advance,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,149,Loans and advances,Loans and advances,TYP_INSTRMNT_149,BIRD_DPST_LDM,Deposits,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,149,Loans and advances,Loans and advances,TYP_INSTRMNT_149,BIRD_OTHR_LN_LDM,Other loan,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,149,Loans and advances,Loans and advances,TYP_INSTRMNT_149,BIRD_LNG_NN_NGTBL_SCRTY_PSTN_LDM,Long non negotiable security position,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,1491,Commercial real estate (CRE) loans,"A loan aimed at acquiring a CRE property (or set of CRE properties) or secured by a CRE property (or set of CRE properties), as described in ESRB/2016/14.",TYP_INSTRMNT_1491,BIRD_OTHR_LN_LDM,Other loan,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,210,Debt securities,Debt securities,TYP_INSTRMNT_210,BIRD_SCRTY_PSTN_LDM,Debt security,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,2102,Certificates of deposits,Certificates of deposits,TYP_INSTRMNT_2102,BIRD_SCRTY_PSTN_LDM,Debt security,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,2104,Hybrid contracts,Hybrid contracts,TYP_INSTRMNT_2104,,,
1100,Financial liabilities,Financial liabilities,TYP_ACCNTNG_ITM_1100,2105,Other debt securities issued,Other debt securities issued,TYP_INSTRMNT_2105,BIRD_DBT_SCRTY_ISSD_LDM,Debt_ security issued by the reporting agent ,
1100,Financial liabilities,Financial liabilities,TYP_ACCNTNG_ITM_1100,2106,Other debt securities issued - convertible compound financial instruments,Other debt securities issued - convertible compound financial instruments,TYP_INSTRMNT_2106,BIRD_DBT_SCRTY_ISSD_LDM,Debt_ security issued by the reporting agent ,
1100,Financial liabilities,Financial liabilities,TYP_ACCNTNG_ITM_1100,2107,Other debt securities issued - non-convertible,Other debt securities issued - non-convertible,TYP_INSTRMNT_2107,BIRD_DBT_SCRTY_ISSD_LDM,Debt_ security issued by the reporting agent ,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,211,Debt securities - Asset backed securities (ABS),Asset backed securities according to Article 4(1)(61) of CRR.,TYP_INSTRMNT_211,BIRD_ABS_LDM,Asset backed security,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,212,Debt securities - Covered bonds,A covered bond is debt security that is secured by the underlying asset pool. In case of default of the issuer of the covered bond the holder of the covered bond receives a claim on the underlying asset pool.,TYP_INSTRMNT_212,BIRD_CVRD_BND_LDM,Covered bond,BIRD_LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,241,Equity instruments,Equity instruments,TYP_INSTRMNT_241,BIRD_EQT_INSTRMNT_NT_SCRT_LDM,Equity instrument that is not a security,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,241,Equity instruments,Equity instruments,TYP_INSTRMNT_241,BIRD_EQTY_FND_SCRTY_LDM,Equity and fund security,BIRD_LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,260,Current accounts,Current accounts,TYP_INSTRMNT_260,BIRD_OTHR_LN_LDM,Other loan,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,300,Repurchase agreements,Repurchase agreements,TYP_INSTRMNT_300,BIRD_RPRCHS_AGRMNT_INSTRMNT_LDM,Repurchase agreement instrument,BIRD_BLNC_SHT_RCGNSD_FNNCNL_ASST_INSTRMNT_LDM
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,310,Derivatives,Derivatives,TYP_INSTRMNT_310,BIRD_EXCHNG_TRDBL_DRVTV_PSTN_LDM,Exchange tradable derivative position,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,310,Derivatives,Derivatives,TYP_INSTRMNT_310,BIRD_OTC_DRVTV_INSTRMNT_LDM,Over the counter OTC Derivative instrument,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,3101,Credit default swap,Credit default swap,TYP_INSTRMNT_3101,BIRD_OTC_CDS_LDM,Over the counter OTC Credit default swap,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,3102,Credit spread option,Credit spread option,TYP_INSTRMNT_3102,BIRD_OTC_CRDT_SPRD_OPTN_LDM,Over the counter OTC Credit spread option,
40,Financial assets,Financial assets,TYP_ACCNTNG_ITM_40,3103,Total return swap,Total return swap,TYP_INSTRMNT_3103,BIRD_OTC_TTL_RTRN_SWP_LDM,Over_the_counter_OTC_Total_return_swap,
